               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   1,            0.066788,            0.023683,                   0,           0.0046327,                 0.7,           0.0080299,           0.0017867,            0.051914,           0.0099698,                   0,          0.00010999,          0.00010999,             0.09901
                   2,            0.065229,            0.020597,                   0,           0.0029038,                 0.1,           0.0039967,          0.00089303,            0.052296,           0.0097083,                   0,          0.00016993,          0.00016993,             0.09847
                   3,            0.065846,            0.022766,                   0,            0.018401,                 0.1,            0.013005,           0.0015481,            0.044337,            0.010554,                   0,           0.0002298,           0.0002298,             0.09793
                   4,            0.059098,            0.021696,                   0,            0.038915,                 0.1,            0.010724,           0.0015377,            0.039774,            0.011165,                   0,          0.00028955,          0.00028955,             0.09739
                   5,            0.061101,            0.025283,                   0,             0.78735,                 0.1,             0.12718,            0.028554,            0.034956,            0.011401,                   0,          0.00034915,          0.00034915,            0.096849
                   6,            0.062245,            0.023047,                   0,             0.49703,                 0.3,             0.25194,              0.1232,            0.033403,            0.010722,                   0,          0.00040856,          0.00040856,            0.096309
                   7,             0.05824,             0.02567,                   0,             0.55982,                 0.4,             0.35158,             0.16054,             0.03001,           0.0092426,                   0,          0.00046776,          0.00046776,            0.095768
                   8,            0.057778,             0.02189,                   0,             0.69436,                 0.7,             0.60715,             0.23564,            0.027133,           0.0086622,                   0,           0.0005267,           0.0005267,            0.095227
                   9,            0.056645,            0.022067,                   0,              0.8875,                 0.8,             0.91444,             0.29101,            0.025732,           0.0080461,                   0,          0.00058536,          0.00058536,            0.094685
                  10,            0.056634,              0.0231,                   0,             0.74696,                 0.9,             0.80066,             0.32601,            0.024855,           0.0078437,                   0,          0.00064369,          0.00064369,            0.094144
                  11,            0.048547,            0.019749,                   0,             0.66612,             0.79819,             0.66311,             0.20346,             0.03099,           0.0079227,                   0,          0.00070167,          0.00070167,            0.093602
                  12,            0.055537,            0.023645,                   0,             0.85655,                 0.6,             0.69886,             0.19828,            0.029034,           0.0077131,                   0,          0.00075926,          0.00075926,            0.093059
                  13,            0.048015,            0.021255,                   0,             0.90886,                   1,             0.98591,             0.25758,             0.02397,           0.0077005,                   0,          0.00081642,          0.00081642,            0.092516
                  14,            0.051297,            0.020522,                   0,             0.88881,             0.79941,             0.88624,             0.34608,            0.026326,            0.007951,                   0,          0.00087313,          0.00087313,            0.091973
                  15,             0.05326,            0.024845,                   0,                   1,             0.79642,             0.85775,             0.26595,            0.025638,           0.0081452,                   0,          0.00092935,          0.00092935,            0.091429
                  16,            0.048613,            0.021714,                   0,             0.72592,             0.79504,              0.8089,             0.21112,            0.025565,           0.0080428,                   0,          0.00098505,          0.00098505,            0.090885
                  17,            0.051755,            0.023102,                   0,             0.72665,             0.79772,             0.84898,             0.20389,            0.027021,            0.007599,                   0,           0.0010402,           0.0010402,             0.09034
