               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.051602,            0.022224,                   0,                   1,              0.5998,             0.75649,             0.32074,            0.030034,           0.0074281,                   0,            0.002019,            0.002019,            0.078719
                  39,            0.053432,            0.021225,                   0,                   1,             0.49941,             0.70556,              0.1524,            0.037171,            0.007236,                   0,            0.002055,            0.002055,            0.078155
                  40,            0.051609,            0.021398,                   0,             0.99799,                 0.5,             0.67205,             0.35492,            0.029656,           0.0072422,                   0,           0.0020898,           0.0020898,             0.07759
                  41,            0.047648,            0.019304,                   0,             0.85674,             0.59832,             0.73465,             0.34251,             0.02809,            0.007198,                   0,           0.0021234,           0.0021234,            0.077023
                  42,             0.04836,             0.01849,                   0,             0.44937,                 0.9,             0.58309,             0.18521,             0.03103,           0.0072296,                   0,           0.0021559,           0.0021559,            0.076456
                  43,            0.047271,            0.019651,                   0,             0.87473,             0.69849,              0.7793,             0.34855,            0.027464,           0.0072047,                   0,           0.0021871,           0.0021871,            0.075887
                  44,            0.054168,            0.022261,                   0,             0.87496,             0.69977,              0.7376,             0.21887,             0.03074,           0.0074548,                   0,           0.0022172,           0.0022172,            0.075317
                  45,            0.045204,            0.020508,                   0,             0.53303,              0.7991,             0.66544,             0.16818,             0.03337,           0.0071352,                   0,           0.0022461,           0.0022461,            0.074746
                  46,            0.049769,            0.020903,                   0,             0.46618,                 0.7,              0.6082,             0.18585,             0.03274,           0.0067354,                   0,           0.0022738,           0.0022738,            0.074174
                  47,            0.052912,            0.019778,                   0,             0.49941,                 0.9,             0.68946,             0.20573,            0.034504,             0.00663,                   0,           0.0023002,           0.0023002,              0.0736
                  48,            0.047865,            0.018663,                   0,             0.74889,                 0.6,             0.70726,             0.22008,            0.034742,           0.0066075,                   0,           0.0023254,           0.0023254,            0.073025
                  49,            0.052812,            0.018819,                   0,             0.87489,             0.69936,             0.81468,             0.32547,            0.029133,           0.0067945,                   0,           0.0023493,           0.0023493,            0.072449
                  50,            0.045419,            0.020895,                   0,             0.44805,                 0.9,             0.49471,             0.14078,            0.029875,           0.0069189,                   0,            0.002372,            0.002372,            0.071872
                  51,            0.050085,             0.01984,                   0,              0.8571,             0.59981,             0.70726,             0.22571,            0.034711,           0.0068302,                   0,           0.0023934,           0.0023934,            0.071293
                  52,             0.05508,            0.018971,                   0,             0.49978,                 0.8,             0.51091,             0.13504,            0.030248,            0.006517,                   0,           0.0024135,           0.0024135,            0.070713
                  53,            0.044465,            0.020004,                   0,             0.99947,                 0.8,             0.87792,              0.2827,            0.027363,           0.0063743,                   0,           0.0024323,           0.0024323,            0.070132
                  54,            0.044709,             0.02054,                   0,             0.81811,                 0.9,             0.86681,              0.3389,            0.027237,           0.0062551,                   0,           0.0024499,           0.0024499,             0.06955
                  55,            0.042498,            0.018876,                   0,             0.69987,              0.6996,             0.70462,             0.26974,            0.029519,           0.0065872,                   0,           0.0024661,           0.0024661,            0.068966
                  56,            0.047086,            0.018926,                   0,             0.52899,                 0.9,             0.71002,             0.32259,            0.030978,           0.0063768,                   0,           0.0024811,           0.0024811,            0.068381
                  57,            0.044308,             0.01894,                   0,             0.87483,                 0.7,             0.75161,             0.25339,             0.02954,             0.00663,                   0,           0.0024948,           0.0024948,            0.067795
                  58,            0.043782,             0.01892,                   0,                   1,             0.59976,             0.76562,             0.27228,            0.029841,           0.0061894,                   0,           0.0025072,           0.0025072,            0.067207
                  59,            0.044975,            0.017151,                   0,             0.63592,                 0.7,             0.65763,             0.29393,            0.031595,           0.0060561,                   0,           0.0025183,           0.0025183,            0.066618
                  60,            0.044511,            0.018082,                   0,             0.87477,              0.6987,             0.80541,             0.37148,            0.031248,           0.0058061,                   0,            0.002528,            0.002528,            0.066028
                  61,            0.045821,            0.019623,                   0,             0.81727,                 0.9,             0.86619,             0.39542,             0.03612,           0.0059363,                   0,           0.0025365,           0.0025365,            0.065437
                  62,            0.045342,            0.017824,                   0,             0.99991,                 0.7,             0.82433,              0.2822,            0.031413,           0.0062621,                   0,           0.0025438,           0.0025438,            0.064844
                  63,            0.044951,            0.016616,                   0,             0.87475,                 0.7,             0.80455,             0.26257,            0.028311,           0.0059291,                   0,           0.0025497,           0.0025497,             0.06425
                  64,            0.044685,            0.017641,                   0,             0.74993,             0.59981,             0.62202,             0.25854,            0.037044,           0.0061365,                   0,           0.0025543,           0.0025543,            0.063654
                  65,            0.043075,            0.017689,                   0,             0.81816,             0.89986,             0.85905,              0.2853,             0.02475,            0.006161,                   0,           0.0025577,           0.0025577,            0.063058
                  66,            0.043918,            0.018946,                   0,             0.53329,             0.79988,             0.60584,              0.2025,            0.031435,            0.006223,                   0,           0.0025598,           0.0025598,             0.06246
                  67,            0.036367,            0.017744,                   0,                   1,             0.69959,             0.84806,             0.30694,            0.027062,           0.0060631,                   0,           0.0025607,           0.0025607,            0.061861
                  68,            0.039735,            0.017926,                   0,             0.87495,              0.6997,             0.77915,             0.30465,            0.026313,           0.0059237,                   0,           0.0025603,           0.0025603,             0.06126
                  69,            0.038689,            0.018013,                   0,             0.99963,                 0.7,             0.83528,             0.35505,            0.026184,           0.0059095,                   0,           0.0025587,           0.0025587,            0.060659
                  70,            0.044013,            0.017447,                   0,             0.81723,                 0.9,             0.85946,             0.28883,            0.024764,           0.0058518,                   0,           0.0025559,           0.0025559,            0.060056
                  71,            0.042501,            0.017987,                   0,             0.79984,              0.7993,             0.69628,             0.24045,            0.031735,           0.0059105,                   0,           0.0025518,           0.0025518,            0.059452
                  72,             0.04159,            0.016195,                   0,              0.7995,                 0.8,             0.71834,             0.21541,            0.027666,           0.0058864,                   0,           0.0025466,           0.0025466,            0.058847
                  73,            0.041626,            0.016732,                   0,                   1,             0.89801,             0.89523,             0.28454,            0.027868,           0.0059031,                   0,           0.0025401,           0.0025401,             0.05824
                  74,            0.038903,            0.015978,                   0,             0.72663,                 0.8,             0.71102,             0.27508,            0.028473,           0.0058752,                   0,           0.0025325,           0.0025325,            0.057633
                  75,            0.039915,            0.016405,                   0,             0.99858,                 0.7,             0.85079,             0.35475,            0.026873,           0.0056752,                   0,           0.0025238,           0.0025238,            0.057024
                  76,            0.044637,            0.017505,                   0,             0.88863,                 0.8,             0.86046,             0.35307,            0.025936,             0.00582,                   0,           0.0025139,           0.0025139,            0.056414
                  77,            0.042681,            0.015365,                   0,             0.87498,             0.69989,             0.75005,             0.28447,             0.02492,           0.0058487,                   0,           0.0025029,           0.0025029,            0.055803
                  78,            0.039474,            0.016135,                   0,             0.69213,                 0.9,             0.79601,             0.29556,            0.024953,           0.0057826,                   0,           0.0024908,           0.0024908,            0.055191
                  79,            0.039632,            0.015825,                   0,             0.66624,             0.79859,             0.74242,             0.29243,            0.026727,           0.0057594,                   0,           0.0024777,           0.0024777,            0.054578
                  80,            0.040595,            0.016432,                   0,             0.81807,             0.89938,             0.85917,             0.26788,            0.023191,           0.0059802,                   0,           0.0024635,           0.0024635,            0.053963
                  81,            0.038615,            0.016834,                   0,             0.99945,                 0.7,             0.84571,             0.35467,            0.022828,           0.0060913,                   0,           0.0024482,           0.0024482,            0.053348
                  82,            0.038883,            0.017637,                   0,               0.857,                 0.6,             0.70086,             0.21622,            0.023881,           0.0061013,                   0,            0.002432,            0.002432,            0.052732
                  83,            0.036288,            0.013527,                   0,             0.99983,                 0.7,              0.8377,             0.25073,            0.028379,           0.0061529,                   0,           0.0024147,           0.0024147,            0.052115
                  84,            0.045792,            0.016179,                   0,             0.57115,                 0.8,             0.65885,               0.247,             0.03035,           0.0060226,                   0,           0.0023965,           0.0023965,            0.051497
                  85,            0.039044,            0.015855,                   0,             0.57115,             0.79915,             0.58511,             0.23158,            0.024821,           0.0058885,                   0,           0.0023774,           0.0023774,            0.050877
                  86,            0.037393,            0.015713,                   0,             0.99932,                 0.7,             0.85035,             0.31944,            0.023112,           0.0058823,                   0,           0.0023574,           0.0023574,            0.050257
                  87,            0.043191,            0.014721,                   0,             0.99945,                 0.7,             0.85043,             0.31006,            0.022611,           0.0057835,                   0,           0.0023365,           0.0023365,            0.049636
                  88,            0.035677,            0.015406,                   0,             0.87495,             0.69972,             0.70653,             0.30579,            0.025088,           0.0056797,                   0,           0.0023147,           0.0023147,            0.049015
                  89,            0.039833,            0.015097,                   0,             0.77749,             0.69896,             0.69464,             0.30384,            0.025019,           0.0055176,                   0,           0.0022922,           0.0022922,            0.048392
                  90,            0.039128,            0.016009,                   0,             0.66641,                 0.8,             0.68189,              0.3108,            0.027756,           0.0056453,                   0,           0.0022688,           0.0022688,            0.047769
                  91,            0.041546,            0.016251,                   0,             0.72718,                 0.8,             0.72121,             0.34636,            0.026363,             0.00583,                   0,           0.0022447,           0.0022447,            0.047145
                  92,            0.037238,            0.015618,                   0,             0.99964,                 0.7,             0.84748,             0.32332,            0.024311,           0.0058968,                   0,           0.0022199,           0.0022199,             0.04652
                  93,            0.041668,            0.016356,                   0,                   1,              0.6998,             0.83872,             0.31738,            0.025617,           0.0060047,                   0,           0.0021943,           0.0021943,            0.045894
                  94,            0.039263,            0.015845,                   0,             0.73718,                 0.9,             0.83871,             0.34817,            0.028252,           0.0062369,                   0,           0.0021681,           0.0021681,            0.045268
                  95,            0.037139,            0.015536,                   0,             0.74999,             0.89997,             0.83846,             0.33656,            0.025298,           0.0062422,                   0,           0.0021413,           0.0021413,            0.044641
                  96,             0.04355,             0.01437,                   0,             0.99875,                 0.7,             0.85068,              0.2954,            0.022318,           0.0058713,                   0,           0.0021139,           0.0021139,            0.044014
                  97,            0.038215,            0.015178,                   0,             0.99978,                 0.7,             0.83528,             0.33356,            0.024657,           0.0056636,                   0,           0.0020859,           0.0020859,            0.043386
                  98,            0.037892,            0.014741,                   0,             0.88884,             0.79965,             0.82702,             0.27181,            0.023695,           0.0058123,                   0,           0.0020575,           0.0020575,            0.042757
                  99,            0.034728,             0.01635,                   0,             0.81812,             0.89966,               0.866,             0.31419,            0.026546,            0.005914,                   0,           0.0020285,           0.0020285,            0.042128
                 100,            0.037933,             0.01493,                   0,             0.81815,                 0.9,             0.86601,             0.32544,            0.025856,           0.0056355,                   0,           0.0019991,           0.0019991,            0.041499
                 101,            0.034963,            0.015629,                   0,              0.8181,             0.89953,             0.86601,             0.29979,            0.027018,           0.0058137,                   0,           0.0019693,           0.0019693,            0.040869
                 102,            0.036741,             0.01579,                   0,             0.72699,                 0.8,             0.70669,             0.25354,            0.029464,           0.0060315,                   0,           0.0019391,           0.0019391,            0.040239
                 103,            0.030738,            0.014711,                   0,             0.99997,                 0.7,             0.81129,             0.22332,            0.028772,           0.0060758,                   0,           0.0019086,           0.0019086,            0.039609
                 104,            0.036834,            0.015028,                   0,             0.99995,                 0.7,             0.81304,             0.26711,            0.025895,           0.0059837,                   0,           0.0018778,           0.0018778,            0.038978
                 105,            0.040348,            0.016074,                   0,             0.99977,                 0.7,             0.82531,             0.32562,            0.024355,           0.0060119,                   0,           0.0018467,           0.0018467,            0.038347
                 106,            0.034283,            0.016227,                   0,              0.9991,                 0.7,              0.8316,             0.31317,            0.025482,           0.0060043,                   0,           0.0018155,           0.0018155,            0.037716
                 107,            0.034695,            0.014635,                   0,             0.85683,                 0.6,             0.68139,              0.2706,            0.027061,           0.0059122,                   0,           0.0017841,           0.0017841,            0.037084
                 108,            0.036453,            0.015042,                   0,             0.85702,                 0.6,             0.68255,             0.23969,            0.031495,           0.0057324,                   0,           0.0017526,           0.0017526,            0.036453
                 109,            0.031106,            0.013034,                   0,             0.99986,                 0.7,              0.8114,             0.31644,            0.024103,           0.0056106,                   0,           0.0017209,           0.0017209,            0.035821
                 110,            0.034283,            0.013748,                   0,             0.99953,                 0.7,             0.80751,             0.32514,            0.025038,           0.0056755,                   0,           0.0016893,           0.0016893,            0.035189
                 111,            0.035021,            0.014692,                   0,                   1,             0.69986,             0.80755,               0.338,            0.024907,           0.0056888,                   0,           0.0016576,           0.0016576,            0.034558
                 112,            0.031296,            0.012507,                   0,             0.81814,             0.89975,             0.85897,             0.34956,             0.02276,           0.0057913,                   0,            0.001626,            0.001626,            0.033926
                 113,            0.030606,            0.012839,                   0,             0.81791,                 0.9,             0.85926,             0.30439,              0.0284,           0.0062295,                   0,           0.0015945,           0.0015945,            0.033295
                 114,            0.035807,            0.012953,                   0,             0.81814,                 0.9,             0.85927,             0.27687,            0.027662,           0.0065661,                   0,           0.0015632,           0.0015632,            0.032663
                 115,            0.032357,            0.014545,                   0,             0.79984,                 0.8,             0.73907,             0.30625,            0.025752,           0.0064026,                   0,            0.001532,            0.001532,            0.032032
                 116,            0.029314,            0.013291,                   0,              0.7999,             0.79953,             0.73322,             0.27218,            0.027167,           0.0062798,                   0,            0.001501,            0.001501,            0.031401
                 117,            0.034883,            0.014776,                   0,             0.81818,             0.89999,             0.85968,             0.30217,             0.02514,           0.0059709,                   0,           0.0014703,           0.0014703,             0.03077
                 118,            0.031964,            0.014848,                   0,             0.81796,                 0.9,             0.86604,             0.34855,            0.024977,            0.005646,                   0,             0.00144,             0.00144,             0.03014
                 119,            0.028856,            0.014362,                   0,             0.81808,             0.89946,             0.86704,             0.34086,            0.024291,           0.0057645,                   0,             0.00141,             0.00141,             0.02951
                 120,            0.028341,            0.014065,                   0,             0.81811,             0.89961,             0.86651,             0.29595,            0.025035,           0.0057618,                   0,           0.0013804,           0.0013804,             0.02888
                 121,            0.031059,             0.01481,                   0,             0.81807,              0.8994,             0.86501,             0.30532,            0.025618,           0.0058145,                   0,           0.0013512,           0.0013512,            0.028251
                 122,            0.029601,             0.01363,                   0,             0.81807,             0.89937,             0.86544,             0.28679,            0.025925,           0.0061476,                   0,           0.0013226,           0.0013226,            0.027623
                 123,             0.03243,            0.016116,                   0,             0.81814,             0.89979,             0.86112,             0.26508,            0.026197,           0.0061158,                   0,           0.0012945,           0.0012945,            0.026994
                 124,            0.028175,            0.013386,                   0,             0.81811,                 0.9,             0.86001,             0.31502,            0.025405,            0.005793,                   0,           0.0012669,           0.0012669,            0.026367
                 125,            0.032766,            0.014102,                   0,             0.81755,                 0.9,             0.86009,             0.32896,            0.025205,           0.0056355,                   0,           0.0012401,           0.0012401,             0.02574
