               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.044068,            0.021114,                   0,             0.79891,                 0.8,             0.76923,             0.30241,            0.029163,           0.0068167,                   0,            0.002019,            0.002019,            0.078719
                  39,            0.050135,            0.021941,                   0,             0.72695,                 0.8,             0.72331,             0.20489,            0.032068,           0.0069673,                   0,            0.002055,            0.002055,            0.078155
                  40,            0.046059,            0.021132,                   0,              0.7998,                 0.8,             0.72191,             0.20782,            0.038421,           0.0072911,                   0,           0.0020898,           0.0020898,             0.07759
                  41,            0.046022,            0.025351,                   0,             0.77671,                 0.7,             0.68615,              0.2102,            0.038699,           0.0077533,                   0,           0.0021234,           0.0021234,            0.077023
                  42,            0.048163,             0.02249,                   0,             0.69897,                 0.7,             0.62438,             0.17507,            0.035647,           0.0086496,                   0,           0.0021559,           0.0021559,            0.076456
                  43,            0.046055,            0.021547,                   0,             0.77759,             0.69934,             0.66547,             0.25409,            0.032273,           0.0078072,                   0,           0.0021871,           0.0021871,            0.075887
                  44,            0.046495,            0.023183,                   0,             0.66587,             0.79736,             0.61181,              0.1623,             0.03477,           0.0079326,                   0,           0.0022172,           0.0022172,            0.075317
                  45,            0.043406,            0.021171,                   0,             0.57043,                 0.8,             0.55728,             0.15557,            0.039977,             0.00765,                   0,           0.0022461,           0.0022461,            0.074746
                  46,            0.047564,            0.020437,                   0,             0.58331,                 0.7,             0.52232,             0.12883,            0.038147,           0.0077198,                   0,           0.0022738,           0.0022738,            0.074174
                  47,            0.047297,            0.022427,                   0,             0.58226,                 0.7,              0.6026,             0.13672,            0.041016,           0.0070439,                   0,           0.0023002,           0.0023002,              0.0736
                  48,            0.046718,            0.021234,                   0,             0.63625,                 0.7,             0.60854,             0.23275,            0.033103,           0.0072584,                   0,           0.0023254,           0.0023254,            0.073025
                  49,            0.044465,            0.020191,                   0,              0.6239,             0.49796,             0.52139,             0.16251,            0.037038,           0.0073923,                   0,           0.0023493,           0.0023493,            0.072449
                  50,            0.048998,            0.018563,                   0,             0.71316,                 0.5,             0.55364,             0.16534,            0.042952,           0.0075022,                   0,            0.002372,            0.002372,            0.071872
                  51,            0.049583,             0.01903,                   0,             0.62326,                 0.5,             0.50655,             0.14434,             0.03188,           0.0081284,                   0,           0.0023934,           0.0023934,            0.071293
                  52,            0.048838,             0.02176,                   0,             0.42521,                 0.6,             0.47526,             0.14355,            0.039967,           0.0073852,                   0,           0.0024135,           0.0024135,            0.070713
                  53,            0.043845,            0.019667,                   0,             0.54501,                 0.6,             0.52202,             0.12516,            0.037635,           0.0070974,                   0,           0.0024323,           0.0024323,            0.070132
                  54,            0.042958,            0.022675,                   0,             0.66658,                 0.6,             0.51258,             0.18351,            0.035163,           0.0071799,                   0,           0.0024499,           0.0024499,             0.06955
                  55,             0.04494,             0.01911,                   0,              0.6241,                 0.5,             0.45486,             0.16624,            0.040468,           0.0070235,                   0,           0.0024661,           0.0024661,            0.068966
                  56,            0.045011,            0.022929,                   0,             0.66648,             0.59955,             0.60717,             0.23875,            0.033961,           0.0070582,                   0,           0.0024811,           0.0024811,            0.068381
                  57,            0.044821,            0.020206,                   0,             0.62314,                 0.5,             0.51199,              0.1699,            0.037152,           0.0072984,                   0,           0.0024948,           0.0024948,            0.067795
                  58,            0.043156,            0.020221,                   0,             0.71339,                 0.5,             0.52993,             0.14869,            0.037841,           0.0079435,                   0,           0.0025072,           0.0025072,            0.067207
                  59,            0.045424,            0.022279,                   0,             0.54359,                 0.6,              0.5199,              0.1736,            0.040839,           0.0074852,                   0,           0.0025183,           0.0025183,            0.066618
                  60,            0.045089,            0.020943,                   0,             0.69897,              0.6969,             0.59946,             0.25312,            0.034719,           0.0072918,                   0,            0.002528,            0.002528,            0.066028
                  61,            0.046068,            0.019158,                   0,             0.81808,             0.89943,             0.82343,             0.22733,            0.034079,           0.0070265,                   0,           0.0025365,           0.0025365,            0.065437
                  62,            0.042537,            0.019849,                   0,             0.66625,                 0.6,             0.58187,             0.22644,            0.033702,           0.0069241,                   0,           0.0025438,           0.0025438,            0.064844
                  63,             0.04626,            0.019594,                   0,             0.79916,                 0.8,             0.77046,             0.28796,            0.033532,           0.0069048,                   0,           0.0025497,           0.0025497,             0.06425
                  64,            0.041309,            0.019885,                   0,             0.77661,                 0.7,             0.71891,             0.22918,            0.037082,           0.0064502,                   0,           0.0025543,           0.0025543,            0.063654
                  65,            0.043805,             0.02008,                   0,             0.66557,                 0.8,             0.65098,             0.18584,            0.036451,           0.0065892,                   0,           0.0025577,           0.0025577,            0.063058
                  66,            0.043505,            0.020524,                   0,             0.81787,                 0.9,             0.81878,             0.30759,            0.033565,           0.0067567,                   0,           0.0025598,           0.0025598,             0.06246
                  67,             0.04391,            0.018657,                   0,             0.74993,             0.89971,             0.72559,             0.26966,            0.030496,           0.0067124,                   0,           0.0025607,           0.0025607,            0.061861
                  68,            0.042148,            0.018552,                   0,              0.7759,                 0.7,             0.66232,             0.19443,             0.03198,           0.0070069,                   0,           0.0025603,           0.0025603,             0.06126
                  69,            0.045268,            0.019759,                   0,             0.58316,                 0.7,             0.52897,              0.2256,            0.029169,           0.0071026,                   0,           0.0025587,           0.0025587,            0.060659
                  70,            0.039465,            0.021129,                   0,              0.7268,                 0.8,             0.65417,             0.19099,            0.032548,           0.0074141,                   0,           0.0025559,           0.0025559,            0.060056
                  71,            0.042873,            0.021261,                   0,             0.79973,                 0.8,             0.72766,             0.26772,            0.033605,           0.0071599,                   0,           0.0025518,           0.0025518,            0.059452
                  72,            0.040178,            0.019007,                   0,             0.74989,              0.5997,              0.6333,             0.20968,            0.032737,           0.0069527,                   0,           0.0025466,           0.0025466,            0.058847
                  73,            0.043503,             0.01807,                   0,             0.69956,                 0.7,             0.61122,             0.18308,            0.037164,           0.0064022,                   0,           0.0025401,           0.0025401,             0.05824
                  74,             0.04087,            0.020994,                   0,             0.74998,                 0.6,             0.63031,             0.16699,             0.03803,           0.0061842,                   0,           0.0025325,           0.0025325,            0.057633
                  75,            0.043262,             0.01815,                   0,             0.49986,                 0.6,             0.44657,              0.1885,            0.037572,           0.0065007,                   0,           0.0025238,           0.0025238,            0.057024
                  76,            0.039277,            0.020574,                   0,              0.8313,             0.49389,             0.55129,             0.24171,            0.036903,             0.00652,                   0,           0.0025139,           0.0025139,            0.056414
                  77,            0.040919,            0.018534,                   0,             0.54512,                 0.6,             0.41406,             0.13371,            0.045853,            0.006791,                   0,           0.0025029,           0.0025029,            0.055803
                  78,             0.04032,            0.017307,                   0,               0.545,                 0.6,             0.38037,             0.15808,            0.037173,           0.0064421,                   0,           0.0024908,           0.0024908,            0.055191
                  79,            0.043736,            0.019326,                   0,             0.55524,                 0.5,             0.35214,             0.17237,             0.03734,           0.0067896,                   0,           0.0024777,           0.0024777,            0.054578
                  80,            0.036729,            0.018844,                   0,             0.54531,                 0.6,              0.3749,             0.13719,            0.036719,           0.0067747,                   0,           0.0024635,           0.0024635,            0.053963
                  81,            0.041051,            0.019342,                   0,             0.79989,             0.79953,             0.70262,               0.175,             0.03558,           0.0066049,                   0,           0.0024482,           0.0024482,            0.053348
                  82,            0.039191,            0.020904,                   0,             0.69961,                 0.7,             0.55414,              0.1621,             0.03658,           0.0063636,                   0,            0.002432,            0.002432,            0.052732
                  83,            0.042024,            0.020264,                   0,             0.58306,             0.69928,             0.49372,             0.14734,            0.043724,           0.0064251,                   0,           0.0024147,           0.0024147,            0.052115
                  84,            0.052563,            0.018185,                   0,              0.9999,                 0.9,             0.97192,             0.36268,            0.026833,           0.0065429,                   0,           0.0023965,           0.0023965,            0.051497
                  85,            0.041842,            0.019489,                   0,             0.89999,             0.89993,             0.85063,             0.24647,            0.034093,           0.0064293,                   0,           0.0023774,           0.0023774,            0.050877
                  86,            0.037347,            0.017706,                   0,             0.74971,                 0.9,             0.79348,              0.2164,            0.035898,           0.0069195,                   0,           0.0023574,           0.0023574,            0.050257
                  87,            0.048258,            0.019931,                   0,             0.66655,             0.79962,             0.65557,             0.17059,             0.03669,           0.0064578,                   0,           0.0023365,           0.0023365,            0.049636
                  88,            0.038259,            0.015659,                   0,             0.72649,                 0.8,             0.75215,             0.20122,            0.026409,           0.0067195,                   0,           0.0023147,           0.0023147,            0.049015
                  89,            0.042267,            0.017431,                   0,             0.79992,                 0.8,             0.69302,             0.21042,            0.032624,           0.0066519,                   0,           0.0022922,           0.0022922,            0.048392
                  90,            0.037955,            0.018415,                   0,             0.72723,                 0.8,             0.72012,             0.22922,            0.028864,            0.006354,                   0,           0.0022688,           0.0022688,            0.047769
                  91,            0.038475,            0.017663,                   0,             0.99895,                 0.8,             0.88463,             0.31844,            0.027788,           0.0063795,                   0,           0.0022447,           0.0022447,            0.047145
                  92,            0.040478,            0.019054,                   0,             0.74943,                 0.9,             0.81849,             0.32279,            0.027879,           0.0067309,                   0,           0.0022199,           0.0022199,             0.04652
                  93,            0.036254,            0.017308,                   0,             0.74959,                 0.9,             0.84133,             0.27837,            0.027445,           0.0069456,                   0,           0.0021943,           0.0021943,            0.045894
                  94,            0.039801,            0.017352,                   0,             0.72718,                 0.8,             0.73234,             0.25873,            0.028981,           0.0072877,                   0,           0.0021681,           0.0021681,            0.045268
                  95,            0.037829,            0.018176,                   0,             0.72719,                 0.8,             0.73375,             0.21515,            0.029813,           0.0069416,                   0,           0.0021413,           0.0021413,            0.044641
                  96,            0.043439,            0.018762,                   0,              0.8177,                 0.9,             0.83561,             0.23598,             0.03318,           0.0068164,                   0,           0.0021139,           0.0021139,            0.044014
                  97,             0.03889,            0.017384,                   0,             0.77765,             0.69955,             0.69783,             0.23249,             0.03325,           0.0069528,                   0,           0.0020859,           0.0020859,            0.043386
                  98,            0.039245,            0.017034,                   0,             0.79971,                 0.8,             0.72719,             0.30919,            0.026568,           0.0070838,                   0,           0.0020575,           0.0020575,            0.042757
                  99,            0.040757,             0.01979,                   0,             0.88852,                 0.8,             0.77795,             0.28132,            0.030734,           0.0067832,                   0,           0.0020285,           0.0020285,            0.042128
                 100,            0.036394,            0.018884,                   0,             0.87432,                 0.7,             0.75547,             0.25747,            0.031772,           0.0066644,                   0,           0.0019991,           0.0019991,            0.041499
                 101,             0.03858,            0.018364,                   0,             0.58147,                 0.7,             0.55172,              0.1898,            0.034855,           0.0063083,                   0,           0.0019693,           0.0019693,            0.040869
                 102,            0.038066,            0.017189,                   0,             0.87474,                 0.7,             0.67016,             0.24467,            0.030988,           0.0066008,                   0,           0.0019391,           0.0019391,            0.040239
                 103,            0.036081,            0.016222,                   0,             0.77378,                 0.7,             0.67722,             0.21489,            0.030232,           0.0070642,                   0,           0.0019086,           0.0019086,            0.039609
